"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"TH-Reel // Mehr dazu",2025-12-29,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,5,5,,-,-,-,0.04,,8,1,2025-12-29,2025-12-29
"SCN-Reel // Mehr dazu",2026-01-06,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,3,3,,-,-,-,0.03,,10,1,2026-01-06,2026-01-06
"TH-Reel // Mehr dazu",2026-01-04,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,10,11,,-,-,-,0.03,,2.72727273,1.1,2026-01-04,2026-01-04
"TH-Reel // Mehr dazu",2026-01-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,4,4,,-,-,-,0.03,,7.5,1,2026-01-11,2026-01-11
"TH-Reel // Mehr dazu",2026-01-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1,1,,-,-,-,0.02,,20,1,2026-01-10,2026-01-10
"TH-Reel // Mehr dazu",2026-01-08,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,2,2,,-,-,-,0.02,,10,1,2026-01-08,2026-01-08
"TH-Reel // Mehr dazu",2026-01-05,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1,1,,-,-,-,0.01,,10,1,2026-01-05,2026-01-05
"Carousel 1 // Mehr dazu",2025-12-09,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,2,2,,-,-,-,0.01,,5,1,2025-12-09,2025-12-09
"TH-Reel // Mehr dazu",2025-12-30,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1,1,,-,-,-,0,,0,1,2025-12-30,2025-12-30
"TH-Reel // Mehr dazu",2026-01-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,4,4,,-,-,-,0,,0,1,2026-01-13,2026-01-13
"Carousel 1 // Mehr dazu",2026-01-06,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1,1,,-,-,-,0,,0,1,2026-01-06,2026-01-06
