"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Carousel 1 // Mehr dazu",2025-12-25,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,162,177,,-,-,-,1.68,,9.49152542,1.09259259,2025-12-25,2025-12-25
"Bild 1 // Mehr dazu",2026-01-19,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,284,299,,-,-,-,1.67,,5.58528428,1.0528169,2026-01-19,2026-01-19
"Bild 1 // Mehr dazu",2026-01-24,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,217,230,,-,-,-,1.66,,7.2173913,1.05990783,2026-01-24,2026-01-24
"SCN-Reel // Mehr dazu",2026-01-24,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,121,131,,-,-,-,1.62,,12.36641221,1.08264463,2026-01-24,2026-01-24
"TH-Reel // Mehr dazu",2025-12-04,not_delivering,ad,"NEUBAUTEAM // Oelkersallee // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,58,58,,-,-,-,1.6,,27.5862069,1,2025-12-04,2025-12-04
"SCN-Reel // Mehr dazu",2026-01-23,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,92,97,,-,-,-,1.57,,16.18556701,1.05434783,2026-01-23,2026-01-23
"Single Image 2 // Mehr dazu",2026-01-22,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,103,114,,-,-,-,1.57,,13.77192982,1.10679612,2026-01-22,2026-01-22
"Single Image 2 // Mehr dazu",2026-01-20,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,126,141,,-,-,-,1.56,,11.06382979,1.11904762,2026-01-20,2026-01-20
"TH-Reel // Mehr dazu",2026-01-21,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,161,166,,-,-,-,1.5,,9.03614458,1.0310559,2026-01-21,2026-01-21
"SCN-Reel // Mehr dazu",2026-01-17,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,90,93,1.46,-,-,-,1.46,1.07526882,15.69892473,1.03333333,2026-01-17,2026-01-17
"Bild 1 // Mehr dazu",2026-01-20,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,155,164,,-,-,-,1.4,,8.53658537,1.05806452,2026-01-20,2026-01-20
"Carousel 1 // Mehr dazu",2025-12-24,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,96,109,,-,-,-,1.32,,12.11009174,1.13541667,2025-12-24,2025-12-24
"Carousel 1 // Mehr dazu",2025-12-01,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,58,58,,-,-,-,1.31,,22.5862069,1,2025-12-01,2025-12-01
"TH-Reel // Mehr dazu",2025-12-04,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,65,66,,-,-,-,1.22,,18.48484848,1.01538462,2025-12-04,2025-12-04
"SCN-Reel // Mehr dazu",2026-01-22,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,76,79,,-,-,-,1.21,,15.3164557,1.03947368,2026-01-22,2026-01-22
